Date,open,high,low,close,volume
2016-07-22,615.0828857421875,622.7274980483204,611.7438750886386,615.0828857421875,820402.0
2016-07-25,615.9616702206293,615.9616702206293,608.0534604745727,608.97607421875,260240.0
2016-07-26,610.6014551149358,616.4007853133978,606.2958544066208,608.18505859375,312995.0
2016-07-27,608.1410821276079,613.0178525643349,603.7037101445397,606.2080078125,168708.0
2016-07-28,607.701769061752,612.4467148472434,595.6197858061572,597.421142578125,375033.0
2016-07-29,606.2959326393488,615.0828302138322,601.9024838521071,607.8775634765625,726870.0
2016-08-01,610.5576856997133,611.8757206147715,599.793733893405,603.5721435546875,347573.0
2016-08-02,601.9465033063105,606.2960290233251,599.7058547948106,600.7163696289062,268056.0
2016-08-03,601.9025434606216,604.5386129940257,595.488118322199,597.5090942382812,116318.0
2016-08-04,599.3103914955375,601.023847400725,596.7182457549687,598.4317016601562,134769.0
2016-08-05,599.2224444501427,628.2631279604434,598.8270233636954,613.0178833007812,593783.0
2016-08-08,615.0829369255803,622.1124562047298,611.8317735327785,615.873779296875,347844.0
2016-08-09,617.8947130441057,624.7484831456696,611.8317316286998,613.589111328125,341932.0
2016-08-10,614.9950028902722,615.9176164397034,606.2959525534227,606.515625,84904.0
2016-08-11,607.1744689147199,612.4466061267145,599.7056078643941,601.0675659179688,96842.0
2016-08-12,603.3525414685308,607.2626692679912,600.145301348608,602.0784301757812,74615.0
2016-08-16,602.078276098045,604.5385968707434,598.6513643436278,599.2225341796875,64845.0
2016-08-17,599.3542050399561,607.6139094259693,595.0486578169608,596.5863647460938,90769.0
2016-08-18,597.3334020401038,599.1347056654396,592.2370111863572,593.07177734375,152898.0
2016-08-19,593.1157534627763,597.4213559403063,582.263953351813,583.9773559570312,222490.0
2016-08-22,585.1635286901426,586.0861423259303,575.5418639032748,576.4644775390625,132422.0
2016-08-23,575.6297016618355,581.60483557131,565.8762657389109,567.5897216796875,221090.0
2016-08-24,567.633639286553,570.6651299748816,560.9116405268236,562.2296752929688,188676.0
